ACCtrinom,SYNtri,grp,isTrinomial,notes,newTaxa,origFullText
Frullania_franciscana,,hep,0,NA,NA,NA
Frullania_franciscana,Frullania_fransiscana,hep,0,NA,NA,NA
Frullania_nisquallensis,,hep,0,NA,NA,NA
Frullania_nisquallensis,Frullania_misqualliensis,hep,0,NA,NA,NA
Frullania_nisquallensis,Frullania_nasquallensis,hep,0,NA,NA,NA
Frullania_nisquallensis,Frullania_nisqualensis,hep,0,NA,NA,NA
Geocalyx_graveolens,,hep,0,NA,NA,NA
Geocalyx_graveolens,Geocalyx_graveolans,hep,0,NA,NA,NA
Geocalyx_graveolens,Geooalyx_graveolans,hep,0,NA,NA,NA
Geothallus_tuberosus,,hep,0,NA,NA,NA
Gymnocolea_inflata,,hep,0,NA,NA,NA
Gymnocolea_inflata,Jungermannia_inflata,hep,0,NA,NA,NA
Gymnocolea_inflata,Lophozia_inflata,hep,0,NA,NA,NA
Gymnomitrion_concinnatum,,hep,0,NA,NA,NA
Gymnomitrion_concinnatum,Acolea_concinnata,hep,0,NA,NA,NA
Gymnomitrion_concinnatum,Gymnomitrion_concinnatus,hep,0,NA,NA,NA
Gymnomitrion_concinnatum,Gymnomitrium_concinnatum,hep,0,NA,NA,NA
Gymnomitrion_obtusum,,hep,0,NA,NA,NA
Gymnomitrion_obtusum,Acolea_obtusa,hep,0,NA,NA,NA
Gymnomitrion_obtusum,Gymnomitrion_obtusatum,hep,0,NA,NA,NA
Gymnomitrion_obtusum,Gymnomitrion_obtusiam,hep,0,NA,NA,NA
Gymnomitrion_obtusum,Gymnomitrium_obtusum,hep,0,NA,NA,NA
Gyrothyra_underwoodiana,,hep,0,NA,NA,NA
Herbertus_aduncus_aduncus,,hep,1,NA,NA,NA
Jungermannia_atrovirens,,hep,0,NA,NA,NA
Jungermannia_atrovirens,Aplozia_atrovirens,hep,0,NA,NA,NA
Jungermannia_atrovirens,Aplozia_riparia,hep,0,NA,NA,NA
Jungermannia_atrovirens,Jungermannia_riparia,hep,0,NA,NA,NA
Jungermannia_atrovirens,Jungermannia_tristis,hep,0,NA,NA,NA
Jungermannia_atrovirens,Solenostoma_atrovirens,hep,0,NA,NA,NA
Jungermannia_atrovirens,Solenostoma_triste,hep,0,NA,NA,NA
Jungermannia_confertissima,,hep,0,NA,NA,NA
Jungermannia_exsertifolia_cordifolia,,hep,1,NA,NA,NA
Jungermannia_exsertifolia_cordifolia,Aplozia_cordifolia,hep,1,NA,NA,NA
Jungermannia_exsertifolia_cordifolia,Jungermania_cordifolia,hep,1,NA,NA,NA
Jungermannia_exsertifolia_cordifolia,Jungermannia_cordifolia,hep,1,NA,NA,NA
Jungermannia_exsertifolia_cordifolia,Jungermannia_eucordifolia,hep,1,NA,NA,NA
